id;contributors;day;level
9a68b758-ed36-4299-81ec-b20b245ffbd0;"{""daytime_recovery"": 64.3, ""sleep_recovery"": 63.3, ""stress"": 23.1}";2026-02-16;solid
54f684d9-0c02-484b-8db5-6febfdb5022d;"{""daytime_recovery"": 61.7, ""sleep_recovery"": 64.3, ""stress"": 24.9}";2026-02-17;solid
679ddd7e-8379-4b81-b1f0-231d28fbf4a2;"{""daytime_recovery"": 60.2, ""sleep_recovery"": 62.5, ""stress"": 25.7}";2026-02-18;solid
38595a1b-3130-4cd5-bfc4-d29b8b2b2d7c;"{""daytime_recovery"": 60.8, ""sleep_recovery"": 63.0, ""stress"": 25.4}";2026-02-19;solid
a802e51a-f9b1-42b1-9ba9-84d697d0171a;"{""daytime_recovery"": 60.2, ""sleep_recovery"": 64.5, ""stress"": 26.3}";2026-02-20;solid
2e08cf24-5ecb-4e8a-908a-cc9cfff47235;"{""daytime_recovery"": 58.0, ""sleep_recovery"": 62.2, ""stress"": 28.4}";2026-02-21;solid
f60a53ea-053f-4ac1-a31b-eb311e305958;"{""daytime_recovery"": 58.7, ""sleep_recovery"": 57.1, ""stress"": 27.5}";2026-02-22;solid
fe4d0d52-b96e-4056-822b-88a1518eb5cc;"{""daytime_recovery"": 59.1, ""sleep_recovery"": 58.8, ""stress"": 27.1}";2026-02-23;solid
a8febad3-1d51-46a0-a1b6-9fba11d855c1;"{""daytime_recovery"": 60.2, ""sleep_recovery"": 58.5, ""stress"": 26.5}";2026-02-24;solid
25536a41-e33f-47a1-8986-265917c641f9;"{""daytime_recovery"": 61.0, ""sleep_recovery"": 62.5, ""stress"": 25.5}";2026-02-25;solid
ad7c9f30-71e6-4b7e-abcb-aa10f34610fb;"{""daytime_recovery"": 62.4, ""sleep_recovery"": 58.1, ""stress"": 24.5}";2026-02-26;solid
24286441-8edb-4071-8700-0fed3c428377;"{""daytime_recovery"": 64.5, ""sleep_recovery"": 62.2, ""stress"": 23.0}";2026-02-27;solid
49549cec-f3a3-4eb4-9455-65f703ad1459;"{""daytime_recovery"": 64.3, ""sleep_recovery"": 62.8, ""stress"": 23.8}";2026-02-28;solid
d10839f1-5187-49be-9268-8eae29a057ae;"{""daytime_recovery"": 63.3, ""sleep_recovery"": 65.2, ""stress"": 24.6}";2026-03-01;strong
bdd91d94-b3b3-4ceb-872e-6eabc82ee860;"{""daytime_recovery"": 64.5, ""sleep_recovery"": 63.4, ""stress"": 23.6}";2026-03-02;solid
850b3193-dfe7-4562-8b4a-b224e7142fa8;"{""daytime_recovery"": 63.9, ""sleep_recovery"": 64.0, ""stress"": 23.5}";2026-03-03;solid
6f0bb16a-753a-4bbf-80d3-83f501b38539;"{""daytime_recovery"": 65.1, ""sleep_recovery"": 66.1, ""stress"": 22.9}";2026-03-04;strong
66b34bf0-d8b1-47dc-a64e-d012501d42c6;"{""daytime_recovery"": 61.7, ""sleep_recovery"": 66.4, ""stress"": 26.2}";2026-03-05;strong
7d315948-769a-4a28-a8e2-9d026c6269d8;"{""daytime_recovery"": 60.6, ""sleep_recovery"": 68.4, ""stress"": 26.8}";2026-03-06;strong
4c762eea-c2e4-4f10-89ae-2c81f7323901;"{""daytime_recovery"": 58.9, ""sleep_recovery"": 71.8, ""stress"": 28.2}";2026-03-07;strong
4754707b-56ce-455f-970e-df251ad6516d;"{""daytime_recovery"": 57.1, ""sleep_recovery"": 75.5, ""stress"": 29.6}";2026-03-08;strong
029ee5ad-578d-4922-866c-5aaf22f188d8;"{""daytime_recovery"": 55.8, ""sleep_recovery"": 74.8, ""stress"": 30.3}";2026-03-09;strong
4d81360c-349f-4464-891b-e5fe97c9e9c0;"{""daytime_recovery"": 51.6, ""sleep_recovery"": 77.0, ""stress"": 33.7}";2026-03-10;strong
3c8b1ab2-4efd-455a-a729-bb103276a88e;"{""daytime_recovery"": 53.1, ""sleep_recovery"": 73.9, ""stress"": 32.2}";2026-03-11;strong
d0b29cc0-c7e8-4a2b-9233-bb719f44421d;"{""daytime_recovery"": 53.2, ""sleep_recovery"": 76.1, ""stress"": 32.4}";2026-03-12;strong
25896b7d-85e7-481c-9f3f-4e3c6c3e9618;"{""daytime_recovery"": 52.8, ""sleep_recovery"": 75.6, ""stress"": 32.6}";2026-03-13;strong
fd780561-4e3f-40b7-a621-4d385dbdfbb0;"{""daytime_recovery"": 50.3, ""sleep_recovery"": 77.7, ""stress"": 35.1}";2026-03-14;strong
95ae1b58-315d-4b84-bd08-038edd5136de;"{""daytime_recovery"": 49.3, ""sleep_recovery"": 77.3, ""stress"": 36.4}";2026-03-15;strong
3892b0cd-a1b7-4c6a-a40e-175f2b67d188;"{""daytime_recovery"": 51.2, ""sleep_recovery"": 78.1, ""stress"": 35.0}";2026-03-16;strong
bdf6469e-01bc-4d8d-ac90-ede6f3ceffc7;"{""daytime_recovery"": 51.4, ""sleep_recovery"": 77.2, ""stress"": 35.7}";2026-03-17;strong
cf8d3d13-9d77-4560-8dcc-926f48344092;"{""daytime_recovery"": 50.6, ""sleep_recovery"": 75.4, ""stress"": 36.7}";2026-03-18;strong
a9baf0ee-98fe-4fc0-b04f-edcfae9226fb;"{""daytime_recovery"": 54.2, ""sleep_recovery"": 74.2, ""stress"": 33.5}";2026-03-19;strong
315aa9d0-7eb4-4ea9-90e5-15bb348830e0;"{""daytime_recovery"": 51.5, ""sleep_recovery"": 71.3, ""stress"": 36.1}";2026-03-20;strong
c6176da7-297f-4d27-af2f-495321ec4aab;"{""daytime_recovery"": 53.0, ""sleep_recovery"": 66.5, ""stress"": 34.8}";2026-03-21;strong
77da236d-7485-47b1-95a3-1ba5b7228f0c;"{""daytime_recovery"": 52.6, ""sleep_recovery"": 66.0, ""stress"": 35.6}";2026-03-22;strong
b279f317-f492-4adb-add9-c52630656b36;"{""daytime_recovery"": 51.8, ""sleep_recovery"": 66.6, ""stress"": 35.8}";2026-03-23;strong
eeaf376d-7af7-423e-b3e8-73c152aa75fa;"{""daytime_recovery"": 53.3, ""sleep_recovery"": 63.8, ""stress"": 33.3}";2026-03-24;solid
96248b93-c488-4cd8-a76c-04a9fdb8e25f;"{""daytime_recovery"": 52.3, ""sleep_recovery"": 63.8, ""stress"": 33.5}";2026-03-25;solid
6d461dbd-bb27-4d11-80a2-2cb343b3e691;"{""daytime_recovery"": 52.7, ""sleep_recovery"": 62.9, ""stress"": 32.9}";2026-03-26;solid
87bcff75-20ac-47bd-bf32-5d7833b153eb;"{""daytime_recovery"": 51.1, ""sleep_recovery"": 63.1, ""stress"": 33.9}";2026-03-27;solid
cd5a61ee-f7eb-4cdf-8408-756e110fb86d;"{""daytime_recovery"": 49.5, ""sleep_recovery"": 63.0, ""stress"": 36.0}";2026-03-28;solid
81fd1761-722a-4cc5-9091-8d92410b692c;"{""daytime_recovery"": 47.6, ""sleep_recovery"": 60.7, ""stress"": 38.1}";2026-03-29;solid
f9fd2f6d-da9b-46af-a566-2cd3df3d7bac;"{""daytime_recovery"": 45.5, ""sleep_recovery"": 60.0, ""stress"": 40.1}";2026-03-30;solid
2ad19c2e-7ca8-4e18-8cd8-03ae9f228798;"{""daytime_recovery"": 45.6, ""sleep_recovery"": 59.3, ""stress"": 39.9}";2026-03-31;solid
e1ae1b86-8f27-4087-ba79-3513553352cf;"{""daytime_recovery"": 47.3, ""sleep_recovery"": 60.1, ""stress"": 38.8}";2026-04-01;solid
7fd0b8e9-f0a7-488d-afc2-41ff500622dc;"{""daytime_recovery"": 45.2, ""sleep_recovery"": 61.8, ""stress"": 40.8}";2026-04-02;solid
a0563537-b128-4b97-945d-5468edde7de2;"{""daytime_recovery"": 44.0, ""sleep_recovery"": 62.5, ""stress"": 42.0}";2026-04-03;solid
9f2dc6ad-fc53-499a-b2c6-a009e47bbfea;"{""daytime_recovery"": 41.3, ""sleep_recovery"": 62.4, ""stress"": 44.0}";2026-04-04;solid
4784e11b-5e21-44e6-a0bf-c68003397e9a;"{""daytime_recovery"": 41.2, ""sleep_recovery"": 61.5, ""stress"": 44.4}";2026-04-05;solid
70dbf60f-a4f8-41ad-ba62-68f9975be224;"{""daytime_recovery"": 42.9, ""sleep_recovery"": 60.8, ""stress"": 43.9}";2026-04-06;solid
80d8c08b-0e97-4529-8873-b8a85c8c2c4c;"{""daytime_recovery"": 41.6, ""sleep_recovery"": 59.2, ""stress"": 46.2}";2026-04-07;solid
ae7b0c99-d942-4606-bb1e-c6721496d3a9;"{""daytime_recovery"": 41.9, ""sleep_recovery"": 56.9, ""stress"": 46.4}";2026-04-09;solid
586bd691-4e85-47f1-ae5d-b0faa4dd3195;"{""daytime_recovery"": 43.6, ""sleep_recovery"": 57.5, ""stress"": 44.9}";2026-04-10;solid
7d45628c-5cd0-4a57-a041-38c1328de4dd;"{""daytime_recovery"": 45.4, ""sleep_recovery"": 59.3, ""stress"": 42.8}";2026-04-11;solid
9c26a418-1fd3-4a56-90e4-facb20afc1ad;"{""daytime_recovery"": 46.4, ""sleep_recovery"": 61.8, ""stress"": 40.8}";2026-04-12;solid
c6271c58-152a-4d18-b195-4b3fb5077323;"{""daytime_recovery"": 49.6, ""sleep_recovery"": 61.6, ""stress"": 37.8}";2026-04-13;solid
d45547ee-e603-48cd-b821-fe03148f1fdc;"{""daytime_recovery"": 49.9, ""sleep_recovery"": 59.9, ""stress"": 37.0}";2026-04-14;solid
371a7382-a3f9-4b28-8084-6728df1765d4;"{""daytime_recovery"": 50.6, ""sleep_recovery"": 61.3, ""stress"": 35.5}";2026-04-15;solid
9aa2442b-7aee-4d9f-a71e-70bf0f95ce83;"{""daytime_recovery"": 53.4, ""sleep_recovery"": 59.9, ""stress"": 33.2}";2026-04-16;solid
e387a5a9-3819-4791-9836-4fee053a7e0d;"{""daytime_recovery"": 56.3, ""sleep_recovery"": 61.6, ""stress"": 30.3}";2026-04-17;solid
2dda573b-bca9-417c-9340-fe1832a1bcf8;"{""daytime_recovery"": 57.9, ""sleep_recovery"": 65.1, ""stress"": 29.5}";2026-04-18;solid
48ec6956-3e14-47ed-bfeb-dedb1735cf70;"{""daytime_recovery"": 56.8, ""sleep_recovery"": 63.7, ""stress"": 30.5}";2026-04-19;solid
b1390d6a-f9cb-4fc7-9d1d-cda2b215dbd3;"{""daytime_recovery"": 54.9, ""sleep_recovery"": 67.6, ""stress"": 31.2}";2026-04-21;strong
d8c3efc3-129f-40b1-9b2e-7eed087b243b;"{""daytime_recovery"": 53.8, ""sleep_recovery"": 65.7, ""stress"": 32.7}";2026-04-22;strong
351be383-f151-4027-b8da-e49d23ea9ebc;"{""daytime_recovery"": 53.0, ""sleep_recovery"": 68.1, ""stress"": 33.4}";2026-04-23;strong
029d24e1-54a4-48bf-a879-9eb52299fd62;"{""daytime_recovery"": 54.1, ""sleep_recovery"": 67.7, ""stress"": 32.6}";2026-04-24;strong
307b748a-c3e0-4d20-8c55-0576d06264b2;"{""daytime_recovery"": 52.7, ""sleep_recovery"": 69.6, ""stress"": 33.3}";2026-04-25;strong
2abd8283-629f-452c-b9ec-d1ec5e906994;"{""daytime_recovery"": 50.8, ""sleep_recovery"": 68.4, ""stress"": 35.7}";2026-04-26;strong
92503f43-74ca-4e55-80de-d609dc2f9335;"{""daytime_recovery"": 50.6, ""sleep_recovery"": 70.8, ""stress"": 35.5}";2026-04-27;strong
7f2d2abf-83c1-4adc-849e-df4eea7325da;"{""daytime_recovery"": 51.9, ""sleep_recovery"": 71.4, ""stress"": 34.9}";2026-04-28;strong
7b9a3a49-2431-4fb1-9ad3-244821669f16;"{""daytime_recovery"": 51.0, ""sleep_recovery"": 71.0, ""stress"": 36.0}";2026-04-29;strong
